item_id,timestamp,Amazon_OrderCount,Amazon_NumberOfPieces,Amazon_TotalRevenue,Chick-Fil-A_OrderCount,Chick-Fil-A_NumberOfPieces,Chick-Fil-A_TotalRevenue,Chipotle_OrderCount,Chipotle_NumberOfPieces,Chipotle_TotalRevenue,Costco_OrderCount,Costco_NumberOfPieces,Costco_TotalRevenue,Home_Depot_OrderCount,Home_Depot_NumberOfPieces,Home_Depot_TotalRevenue,Home_Goods_OrderCount,Home_Goods_NumberOfPieces,Home_Goods_TotalRevenue,Lowes_OrderCount,Lowes_NumberOfPieces,Lowes_TotalRevenue,Shein_OrderCount,Shein_NumberOfPieces,Shein_TotalRevenue,Starbucks_OrderCount,Starbucks_NumberOfPieces,Starbucks_TotalRevenue,T.J._Maxx_OrderCount,T.J._Maxx_NumberOfPieces,T.J._Maxx_TotalRevenue,Target_OrderCount,Target_NumberOfPieces,Target_TotalRevenue,Walmart_OrderCount,Walmart_NumberOfPieces,Walmart_TotalRevenue
item0,2020-01-02T00:00:00,267.0,1416.0,21241.2890625,63.0,315.0,2745.1298828125,106.0,499.0,6451.9501953125,149.0,712.0,18860.560546875,319.0,1491.0,62358.78125,155.0,743.0,6121.06982421875,43.0,215.0,6422.0400390625,0.0,0.0,0.0,251.0,1291.0,16224.7802734375,51.0,237.0,2220.75,264.0,1214.0,10956.669921875,104.0,520.0,8004.14013671875
item0,2020-01-03T00:00:00,338.0,1715.0,25197.3203125,44.0,220.0,2770.169921875,112.0,648.0,6253.10009765625,188.0,927.0,23257.109375,263.0,1295.0,69243.7734375,153.0,785.0,6246.6298828125,26.0,130.0,6759.66015625,124.0,602.0,11092.3701171875,67.0,355.0,3014.77001953125,43.0,215.0,1051.1800537109375,232.0,1143.0,12739.08984375,104.0,448.0,7687.10009765625
item0,2020-01-04T00:00:00,144.0,751.0,11393.330078125,19.0,95.0,1367.3800048828125,12.0,60.0,643.9099731445312,70.0,354.0,9862.2900390625,100.0,525.0,26705.1796875,24.0,120.0,1442.5799560546875,3.0,18.0,540.469970703125,71.0,359.0,6287.64990234375,42.0,210.0,2328.179931640625,7.0,35.0,354.9100036621094,108.0,522.0,5487.419921875,33.0,146.0,2098.820068359375
item0,2020-01-05T00:00:00,138.0,661.0,9727.580078125,13.0,65.0,493.1000061035156,31.0,155.0,2233.7900390625,37.0,203.0,5203.66015625,111.0,550.0,19003.73046875,51.0,257.0,2008.31005859375,10.0,50.0,2599.8701171875,49.0,229.0,3870.659912109375,70.0,350.0,4333.72998046875,13.0,65.0,587.219970703125,87.0,435.0,4539.58984375,41.0,224.0,3616.929931640625
item0,2020-01-06T00:00:00,657.0,3330.0,48650.6484375,39.0,156.0,2338.070068359375,97.0,485.0,5014.10986328125,165.0,797.0,25254.490234375,602.0,3089.0,152836.703125,212.0,1130.0,12130.3701171875,25.0,125.0,1023.0499877929688,27.0,135.0,1507.300048828125,333.0,1665.0,21732.669921875,103.0,515.0,4857.27001953125,355.0,1425.0,14865.7099609375,208.0,1112.0,16325.2998046875
item0,2020-01-07T00:00:00,488.0,2440.0,34395.55859375,129.0,645.0,8578.7900390625,281.0,1334.0,15190.9599609375,288.0,1508.0,39418.140625,686.0,3430.0,141708.1875,285.0,1425.0,12493.26953125,88.0,457.0,13545.580078125,238.0,1155.0,18364.0,224.0,1196.0,19378.2890625,37.0,185.0,1875.97998046875,582.0,3055.0,30396.669921875,208.0,1112.0,16325.2998046875
item0,2020-01-08T00:00:00,351.0,1819.0,27523.7109375,43.0,215.0,2086.330078125,84.0,384.0,4714.02001953125,167.0,851.0,22163.5390625,219.0,1136.0,56629.359375,143.0,692.0,6182.64013671875,20.0,104.0,1550.1099853515625,145.0,833.0,13331.6201171875,307.0,1504.0,18204.4609375,0.0,0.0,0.0,294.0,1442.0,14927.3203125,84.0,420.0,6447.10986328125
item0,2020-01-09T00:00:00,350.0,1704.0,24924.869140625,0.0,0.0,0.0,107.0,622.0,8821.240234375,147.0,730.0,19415.279296875,193.0,965.0,39668.6796875,87.0,504.0,3508.35009765625,69.0,319.0,11829.76953125,163.0,786.0,14767.2998046875,174.0,910.0,9915.400390625,98.0,377.0,2551.760009765625,285.0,1385.0,15155.9296875,104.0,484.0,7845.6201171875
item0,2020-01-10T00:00:00,366.0,1779.0,26932.169921875,52.0,293.0,2925.8701171875,111.0,467.0,5684.7998046875,166.0,769.0,21073.390625,204.0,933.0,46804.859375,106.0,542.0,4914.1298828125,35.0,175.0,5221.0,164.0,837.0,15764.1201171875,195.0,1011.0,12615.1298828125,43.0,215.0,1051.1800537109375,227.0,1135.0,11587.599609375,68.0,340.0,7211.5400390625
item0,2020-01-11T00:00:00,102.0,507.0,8251.6103515625,13.0,65.0,493.1000061035156,32.0,156.0,1562.9000244140625,55.0,291.0,7562.259765625,83.0,434.0,14156.5302734375,46.0,246.0,2732.60009765625,22.0,110.0,4901.10986328125,20.0,122.0,2290.169921875,81.0,405.0,4132.7900390625,13.0,65.0,587.219970703125,80.0,406.0,4062.22998046875,41.0,167.0,2273.989990234375
item0,2020-01-12T00:00:00,129.0,699.0,10804.8095703125,12.0,60.0,597.3699951171875,30.0,164.0,2115.510009765625,28.0,137.0,3047.1201171875,102.0,515.0,18015.9296875,36.0,180.0,1403.9200439453125,27.0,126.0,4746.10986328125,48.0,230.0,4627.06982421875,101.0,509.0,5854.97998046875,20.0,100.0,942.1300048828125,122.0,585.0,6032.14990234375,41.0,183.0,2983.080078125
