item_id,timestamp,Atlanta_OrderCount,Atlanta_NumberOfPieces,Atlanta_TotalRevenue,Birmingham_OrderCount,Birmingham_NumberOfPieces,Birmingham_TotalRevenue,Chicago_OrderCount,Chicago_NumberOfPieces,Chicago_TotalRevenue,Dallas_OrderCount,Dallas_NumberOfPieces,Dallas_TotalRevenue,Detroit_OrderCount,Detroit_NumberOfPieces,Detroit_TotalRevenue,Houston_OrderCount,Houston_NumberOfPieces,Houston_TotalRevenue,Los_Angeles_OrderCount,Los_Angeles_NumberOfPieces,Los_Angeles_TotalRevenue,Miami_OrderCount,Miami_NumberOfPieces,Miami_TotalRevenue,Milwaukee_OrderCount,Milwaukee_NumberOfPieces,Milwaukee_TotalRevenue,Minneapolis_OrderCount,Minneapolis_NumberOfPieces,Minneapolis_TotalRevenue,Nashville_OrderCount,Nashville_NumberOfPieces,Nashville_TotalRevenue,New_York_OrderCount,New_York_NumberOfPieces,New_York_TotalRevenue,Sacramento_OrderCount,Sacramento_NumberOfPieces,Sacramento_TotalRevenue,San_Diego_OrderCount,San_Diego_NumberOfPieces,San_Diego_TotalRevenue,San_Francisco_OrderCount,San_Francisco_NumberOfPieces,San_Francisco_TotalRevenue,Seattle_OrderCount,Seattle_NumberOfPieces,Seattle_TotalRevenue,Tampa_Bay_OrderCount,Tampa_Bay_NumberOfPieces,Tampa_Bay_TotalRevenue
item0,2020-01-02T00:00:00,143.0,693.0,19333.859375,39.0,163.0,1442.3699951171875,283.0,1361.0,32825.390625,131.0,695.0,12293.669921875,184.0,894.0,11598.4599609375,92.0,411.0,12229.4296875,69.0,345.0,4512.43017578125,68.0,360.0,5851.2099609375,132.0,637.0,10178.3095703125,36.0,180.0,4906.490234375,140.0,696.0,13485.0,52.0,260.0,2652.800048828125,80.0,366.0,13116.2197265625,100.0,518.0,6848.5498046875,84.0,397.0,2806.179931640625,56.0,262.0,3624.06005859375,83.0,415.0,3902.72998046875
item0,2020-01-03T00:00:00,99.0,454.0,9122.2001953125,76.0,416.0,9312.3095703125,276.0,1342.0,37687.44921875,114.0,610.0,10642.650390625,48.0,240.0,2057.780029296875,111.0,576.0,14861.2900390625,169.0,898.0,23667.369140625,67.0,335.0,8848.650390625,71.0,335.0,6494.0400390625,18.0,90.0,3554.39990234375,78.0,390.0,10385.259765625,101.0,436.0,6710.419921875,112.0,533.0,5083.080078125,64.0,320.0,3926.89990234375,74.0,404.0,2709.199951171875,83.0,490.0,5850.47021484375,133.0,614.0,14398.7998046875
item0,2020-01-04T00:00:00,48.0,240.0,7802.5,14.0,63.0,2450.320068359375,90.0,478.0,13234.2099609375,65.0,321.0,6027.0,30.0,164.0,967.97998046875,46.0,222.0,2624.72998046875,66.0,322.0,9733.5595703125,15.0,75.0,2808.429931640625,31.0,166.0,3035.449951171875,18.0,90.0,2513.760009765625,37.0,175.0,3247.030029296875,27.0,149.0,1977.219970703125,24.0,120.0,3804.489990234375,25.0,134.0,1734.780029296875,29.0,145.0,1485.0899658203125,22.0,110.0,2138.31005859375,46.0,221.0,2927.260009765625
item0,2020-01-05T00:00:00,47.0,233.0,6042.60009765625,21.0,105.0,1203.6600341796875,107.0,554.0,10339.3603515625,67.0,337.0,5896.72998046875,62.0,280.0,4149.4501953125,58.0,263.0,5866.4501953125,30.0,144.0,2349.3701171875,0.0,0.0,0.0,25.0,125.0,2404.840087890625,18.0,90.0,2513.760009765625,19.0,95.0,2587.6298828125,27.0,135.0,1525.760009765625,46.0,251.0,2058.10009765625,46.0,230.0,2861.860107421875,29.0,157.0,1911.969970703125,25.0,125.0,2386.889892578125,24.0,120.0,4119.740234375
item0,2020-01-06T00:00:00,26.0,130.0,1939.81005859375,131.0,580.0,16693.5390625,355.0,1418.0,23918.3203125,81.0,486.0,10971.1796875,235.0,1175.0,22059.990234375,305.0,1640.0,35227.609375,195.0,936.0,38291.33984375,123.0,615.0,12290.66015625,191.0,955.0,8938.509765625,92.0,572.0,15173.2197265625,201.0,1103.0,24681.01953125,105.0,597.0,5738.91015625,93.0,465.0,18202.529296875,82.0,410.0,2752.360107421875,181.0,881.0,27340.98046875,222.0,1057.0,20872.41015625,205.0,944.0,21443.310546875
item0,2020-01-07T00:00:00,278.0,1356.0,35084.01171875,52.0,260.0,3945.360107421875,417.0,2184.0,35540.5390625,191.0,918.0,12754.259765625,224.0,1105.0,21205.6796875,278.0,1390.0,33284.12890625,248.0,1240.0,43342.05078125,136.0,680.0,17964.5703125,300.0,1517.0,27858.830078125,36.0,144.0,5687.02978515625,129.0,645.0,16485.5,216.0,1117.0,12171.2802734375,320.0,1600.0,33764.76171875,118.0,682.0,13455.1396484375,282.0,1456.0,14319.990234375,193.0,1068.0,18909.359375,116.0,580.0,5898.240234375
item0,2020-01-08T00:00:00,76.0,393.0,9685.8095703125,62.0,310.0,3716.75,216.0,1063.0,32007.51953125,186.0,1095.0,20087.359375,191.0,996.0,12873.490234375,139.0,672.0,16403.380859375,156.0,790.0,23345.75,56.0,336.0,4999.740234375,49.0,173.0,2290.8701171875,64.0,320.0,8227.08984375,66.0,356.0,5855.39013671875,165.0,789.0,9708.6796875,102.0,534.0,4927.10986328125,100.0,441.0,5942.009765625,63.0,315.0,2431.739990234375,77.0,372.0,7250.58984375,89.0,445.0,4006.93994140625
item0,2020-01-09T00:00:00,116.0,631.0,12369.7099609375,69.0,326.0,8131.7001953125,212.0,968.0,18165.380859375,186.0,949.0,16882.099609375,60.0,300.0,2458.679931640625,116.0,559.0,14963.6796875,102.0,500.0,7526.18017578125,20.0,100.0,3383.989990234375,120.0,553.0,8156.52001953125,46.0,230.0,6434.5498046875,104.0,480.0,10169.2900390625,107.0,553.0,6775.7099609375,151.0,780.0,10643.080078125,64.0,361.0,4202.1298828125,137.0,770.0,15607.3701171875,58.0,290.0,6572.77978515625,109.0,436.0,5961.35009765625
item0,2020-01-10T00:00:00,112.0,519.0,10092.1103515625,26.0,130.0,1972.6800537109375,161.0,805.0,13380.7197265625,133.0,665.0,11177.48046875,114.0,603.0,4712.83984375,124.0,597.0,6878.2900390625,225.0,1109.0,24283.91015625,86.0,410.0,8238.6103515625,121.0,605.0,8773.759765625,64.0,338.0,7616.60009765625,65.0,325.0,6474.990234375,51.0,272.0,5219.31005859375,104.0,555.0,14663.7900390625,104.0,416.0,5336.0400390625,55.0,275.0,10788.1298828125,97.0,397.0,7701.39013671875,95.0,475.0,14475.1396484375
item0,2020-01-11T00:00:00,38.0,190.0,6064.9501953125,23.0,108.0,1254.739990234375,52.0,229.0,5649.580078125,50.0,278.0,4969.68994140625,49.0,239.0,4129.68017578125,30.0,143.0,1586.8399658203125,26.0,130.0,2309.889892578125,40.0,216.0,4307.9501953125,22.0,110.0,2682.429931640625,14.0,70.0,1908.0799560546875,44.0,239.0,5570.4501953125,46.0,238.0,2948.780029296875,53.0,274.0,3959.43994140625,16.0,80.0,1097.260009765625,46.0,229.0,1632.3199462890625,15.0,75.0,1783.4000244140625,24.0,126.0,1151.030029296875
