timestamp,Home_Depot_TotalRevenue
2020-01-02,62358.78125
2020-01-03,69243.7734375
2020-01-04,26705.1796875
2020-01-05,19003.73046875
2020-01-06,152836.703125
2020-01-07,141708.1875
2020-01-08,56629.359375
2020-01-09,39668.6796875
2020-01-10,46804.859375
2020-01-11,14156.5302734375
2020-01-12,38263.98961812599
2020-01-13,57361.38531217041
2020-01-14,54103.495109102136
2020-01-15,51709.60959945071
2020-01-16,55806.31363063382
2020-01-17,57681.82216229127
2020-01-18,56866.2335926713
2020-01-19,56873.398056539176
2020-01-20,57530.33712572336
2020-01-21,57654.27398061864
2020-01-22,57528.22684675975
2020-01-23,57581.69628877418
2020-01-24,57670.530950857436
2020-01-25,57668.86825182297
2020-01-26,57654.96619106683
2020-01-27,57668.89677424401
2020-01-28,57679.02849072421
2020-01-29,57676.7268492155
2020-01-30,57675.90915041438
2020-01-31,57678.46072411379
2020-02-01,57679.381630381344
2020-02-02,57678.905162228904
2020-02-03,57678.99094501892
2020-02-04,57679.39863135096
2020-02-05,57679.48175991897
2020-02-06,57679.38543011701
2020-02-07,57679.42170304315
2020-02-08,57679.68420350976
2020-02-09,57679.82394893385
2020-02-10,57679.52614644345
2020-02-11,57679.815879877424
2020-02-12,57681.42002695248
2020-02-13,57681.5470144652
2020-02-14,57679.60791068264
2020-02-15,57683.99962003843
2020-02-16,57694.147866428866
2020-02-17,57689.11349938302
2020-02-18,57681.03526491109
2020-02-19,57726.45618556844
2020-02-20,57778.12608297314
2020-02-21,57712.18782433709
2020-02-22,57722.76573012734
2020-02-23,58103.39913701552
2020-02-24,58267.1733080822
2020-02-25,57723.52910753633
2020-02-26,58386.79322764644
2020-02-27,61085.34642020712
2020-02-28,60677.33899366503
2020-02-29,57461.353891462815
2020-03-01,66249.71392859932
2020-03-02,84786.0234375
2020-03-03,69080.8671875
2020-03-04,61906.4296875
2020-03-05,25964.560546875
2020-03-06,43100.5390625
2020-03-07,9183.3896484375
2020-03-08,12901.080078125
2020-03-09,96997.109375
2020-03-10,89883.2421875
2020-03-11,56194.0703125
2020-03-12,20767.44921875
2020-03-13,37641.3984375
2020-03-14,11656.8896484375
2020-03-15,21434.529296875
2020-03-16,71443.953125
2020-03-17,104312.4296875
2020-03-18,39910.80078125
2020-03-19,48580.62890625
2020-03-20,36702.30859375
2020-03-21,13903.0
2020-03-22,10176.9296875
2020-03-23,110086.203125
2020-03-24,70980.78125
2020-03-25,37874.23046875
2020-03-26,22599.830078125
2020-03-27,25032.580078125
2020-03-28,16461.619140625
2020-03-29,12269.919921875
2020-03-30,105369.390625
2020-03-31,64127.6015625
2020-04-01,38939.33984375
2020-04-02,44026.23046875
2020-04-03,48727.05078125
2020-04-04,23087.73046875
2020-04-05,23698.8203125
2020-04-06,76889.34375
2020-04-07,79423.671875
2020-04-08,44429.421875
2020-04-09,36253.30859375
2020-04-10,28575.849609375
2020-04-11,14732.9501953125
2020-04-12,13009.759765625
2020-04-13,89358.046875
2020-04-14,72682.8828125
2020-04-15,47713.671875
2020-04-16,59827.1796875
2020-04-17,32564.390625
2020-04-18,6943.14990234375
2020-04-19,15762.3603515625
2020-04-20,45845.19921875
2020-04-21,86635.25
2020-04-22,51512.76171875
2020-04-23,37313.55078125
2020-04-24,20241.310546875
2020-04-25,13229.25
2020-04-26,15700.8896484375
2020-04-27,114556.71875
2020-04-28,80306.8671875
2020-04-29,55634.28125
2020-04-30,27494.779296875
2020-05-01,26020.05078125
2020-05-02,8123.81982421875
2020-05-03,6445.9599609375
2020-05-04,40144.71875
2020-05-05,74520.6171875
2020-05-06,28845.890625
2020-05-07,21873.009765625
2020-05-08,23217.76953125
2020-05-09,3345.780029296875
2020-05-10,14938.5703125
2020-05-11,48574.69921875
2020-05-12,33941.609375
2020-05-13,32195.390625
2020-05-14,39827.9609375
2020-05-15,25117.169921875
2020-05-16,12098.5302734375
2020-05-17,8538.830078125
2020-05-18,12729.0595703125
2020-05-19,55485.3203125
2020-05-20,28140.029296875
2020-05-21,26372.919921875
2020-05-22,11333.7802734375
2020-05-23,7226.5400390625
2020-05-24,4903.9501953125
2020-05-25,29767.779296875
2020-05-26,37440.421875
2020-05-27,15901.1103515625
2020-05-28,17683.970703125
2020-05-29,28637.720703125
2020-05-30,8894.259765625
2020-05-31,35868.965743040404
2020-06-01,53766.8939292612
2020-06-02,51778.02402740074
2020-06-03,51091.91884204043
2020-06-04,55364.04324255103
2020-06-05,57124.3874150361
2020-06-06,56589.557769058454
2020-06-07,56801.226638228974
2020-06-08,57449.102333699644
2020-06-09,57574.08839192611
2020-06-10,57497.175824461345
2020-06-11,57571.47026137188
2020-06-12,57656.44058571664
2020-06-13,57658.12651652919
2020-06-14,57651.58970099127
2020-06-15,57667.17269764915
2020-06-16,57676.75025517309
2020-06-17,57675.37977798979
2020-06-18,57675.53119612363
2020-06-19,57678.1441440056
2020-06-20,57679.02401635459
2020-06-21,57678.74090837606
2020-06-22,57678.93842903939
2020-06-23,57679.280835031546
2020-06-24,57679.33966582224
2020-06-25,57679.359973495644
2020-06-26,57679.32150188858
2020-06-27,57679.15618365839
2020-06-28,57679.32635654662
2020-06-29,57679.579249731934
2020-06-30,57678.60872625477
2020-07-01,57677.60627314291
2020-07-02,57679.52093508425
2020-07-03,57679.68600674114
2020-07-04,57671.414093294974
2020-07-05,57669.169667957016
2020-07-06,57684.39103453566
2020-07-07,57671.50378880595
2020-07-08,57613.4827298041
2020-07-09,57635.062070499225
2020-07-10,57726.40730993344
2020-07-11,57538.5619200154
2020-07-12,57207.00733531596
2020-07-13,57588.67132661921
2020-07-14,57928.57777790853
2020-07-15,56085.597504762794
2020-07-16,54751.1263365038
2020-07-17,58438.62783472632
2020-07-18,57687.14856444127
2020-07-19,43102.356147135884
