timestamp,Chicago_TotalRevenue
2020-01-02,32825.390625
2020-01-03,37687.44921875
2020-01-04,13234.2099609375
2020-01-05,10339.3603515625
2020-01-06,23918.3203125
2020-01-07,35540.5390625
2020-01-08,32007.51953125
2020-01-09,18165.380859375
2020-01-10,13380.7197265625
2020-01-11,5649.580078125
2020-01-12,9523.8603515625
2020-01-13,44960.3203125
2020-01-14,72747.7890625
2020-01-15,24027.640625
2020-01-16,41614.0390625
2020-01-17,33810.33984375
2020-01-18,6914.77978515625
2020-01-19,16081.5400390625
2020-01-20,21018.439453125
2020-01-21,38525.51953125
2020-01-22,40979.05078125
2020-01-23,33023.1484375
2020-01-24,15509.330078125
2020-01-25,15282.169921875
2020-01-26,12735.2998046875
2020-01-27,41919.62109375
2020-01-28,67342.953125
2020-01-29,32004.130859375
2020-01-30,35310.171875
2020-01-31,31558.390625
2020-02-01,16033.259765625
2020-02-02,6155.91015625
2020-02-03,33115.87109375
2020-02-04,31892.189453125
2020-02-05,12753.759765625
2020-02-06,36585.8984375
2020-02-07,37174.12890625
2020-02-08,12922.9296875
2020-02-09,7042.9599609375
2020-02-10,84207.59375
2020-02-11,41376.55078125
2020-02-12,36640.8984375
2020-02-13,32720.970703125
2020-02-14,18300.8203125
2020-02-15,9847.9296875
2020-02-16,14466.5703125
2020-02-17,39641.328125
2020-02-18,48171.75
2020-02-19,32677.4609375
2020-02-20,29081.44921875
2020-02-21,9407.1103515625
2020-02-22,5549.60986328125
2020-02-23,5549.60986328125
2020-02-24,5549.60986328125
2020-02-25,5549.60986328125
2020-02-26,5549.60986328125
2020-02-27,5549.60986328125
2020-02-28,5549.60986328125
2020-02-29,5549.60986328125
2020-03-01,5549.60986328125
2020-03-02,5549.60986328125
2020-03-03,5549.60986328125
2020-03-04,5549.60986328125
2020-03-05,5549.60986328125
2020-03-06,5549.60986328125
2020-03-07,5549.60986328125
2020-03-08,5549.60986328125
2020-03-09,5549.60986328125
2020-03-10,5549.60986328125
2020-03-11,5549.60986328125
2020-03-12,5549.60986328125
2020-03-13,5549.60986328125
2020-03-14,5549.60986328125
2020-03-15,5549.60986328125
2020-03-16,5549.60986328125
2020-03-17,5549.60986328125
2020-03-18,5549.60986328125
2020-03-19,5549.60986328125
2020-03-20,5549.60986328125
2020-03-21,5549.60986328125
2020-03-22,5549.60986328125
2020-03-23,5549.60986328125
2020-03-24,5549.60986328125
2020-03-25,5549.60986328125
2020-03-26,5549.60986328125
2020-03-27,5549.60986328125
2020-03-28,5549.60986328125
2020-03-29,5549.60986328125
2020-03-30,5549.60986328125
2020-03-31,5549.60986328125
2020-04-01,5549.60986328125
2020-04-02,5549.60986328125
2020-04-03,5549.60986328125
2020-04-04,5549.60986328125
2020-04-05,5549.60986328125
2020-04-06,5549.60986328125
2020-04-07,5549.60986328125
2020-04-08,5549.60986328125
2020-04-09,5549.60986328125
2020-04-10,5549.60986328125
2020-04-11,5549.60986328125
2020-04-12,5549.60986328125
2020-04-13,19103.689453125
